Year,AO_JF,AO_MA,EP-NP_JF,EP-NP_MA,PNA_JF,PNA_MA,SOI_JF,SOI_MA,Nino1+2_JF,Nino1+2_MA,Nino3_JF,Nino3_MA,Nino3.4_JF,Nino3.4_MA,Nino4_JF,Nino4_MA,ONI_JF,ONI_MA,PDO_JF,PDO_MA,NAO_JF,NAO_MA,EA_JF,EA_MA,WP_JF,WP_MA,EA-WR_JF,EA-WR_MA,SCA_JF,SCA_MA,POL_JF,POL_MA
2010,-3.426,-0.354,-0.545,-1.420,0.720,1.470,-2.100,0.450,0.200,-0.020,0.975,0.410,1.385,0.640,1.000,0.625,1.360,0.595,0.150,-0.100,-2.245,-1.130,0.815,0.660,0.350,1.355,-0.785,0.205,1.135,-0.365,-0.860,-0.780
2011,-0.054,1.849,-0.270,-0.330,-0.705,-0.700,4.150,3.650,-0.320,-0.535,-1.015,-0.530,-1.325,-0.850,-1.225,-0.775,-1.305,-0.830,-1.630,-1.150,-0.590,1.395,-0.450,-0.680,-0.750,-1.015,0.100,0.655,0.030,-0.690,-0.140,0.310
2012,-0.128,0.501,-1.125,-1.140,0.415,-0.140,1.300,0.400,0.090,0.530,-0.380,-0.100,-0.770,-0.555,-0.965,-0.680,-0.790,-0.530,-1.600,-1.335,0.445,0.650,-1.745,-0.460,-0.285,0.265,-0.550,-0.120,0.455,-0.700,-1.075,-1.195
2013,-0.808,-1.431,-0.380,0.970,0.175,-1.010,-0.250,1.450,-0.705,-0.950,-0.610,-0.240,-0.525,-0.250,-0.135,-0.320,-0.430,-0.320,-1.260,-1.100,-0.535,-0.745,0.510,0.535,0.780,-0.635,-0.410,0.955,0.540,-0.835,-0.760,-1.770
2014,-0.462,1.089,0.710,0.645,-0.490,-0.250,1.250,-0.100,-0.310,-0.170,-0.610,-0.130,-0.555,-0.100,-0.055,0.315,-0.440,-0.115,-0.495,0.330,0.450,0.315,1.800,0.720,-0.415,-0.895,-1.625,0.560,1.425,-0.565,-1.325,0.530
2015,1.067,1.526,1.225,0.390,0.315,-0.455,-0.500,-0.650,-0.345,0.545,0.200,0.365,0.465,0.585,0.810,0.940,0.510,0.615,1.515,1.115,1.310,0.880,0.535,1.040,-0.795,0.820,-0.580,0.695,-0.275,-0.550,1.030,-0.100
2016,-0.737,-0.385,-0.060,0.855,1.810,0.505,-3.400,-1.050,1.545,0.900,2.280,1.075,2.415,1.265,1.220,0.905,2.310,1.260,1.020,1.650,0.490,0.315,1.430,0.840,1.285,-0.230,-1.445,-0.120,-0.610,-0.170,-2.480,-0.910
2017,0.641,0.638,0.300,0.000,-0.170,0.055,0.100,0.600,1.145,1.330,0.170,0.400,-0.255,0.125,-0.125,0.015,-0.250,0.125,-0.040,0.330,0.370,1.055,-0.285,0.205,0.200,-1.245,0.885,-0.155,0.420,-1.235,0.290,-0.320
2018,-0.084,-0.198,0.445,0.060,-0.905,-1.140,0.500,1.600,-1.045,-1.190,-1.040,-0.775,-0.880,-0.655,-0.395,-0.100,-0.885,-0.600,0.145,-0.770,1.255,-0.090,-0.415,0.255,0.415,0.085,-1.510,2.260,0.435,-0.245,-1.860,-0.615
2019,0.218,0.931,1.135,1.390,-0.655,-0.445,-1.200,-0.150,0.675,0.210,0.595,0.595,0.680,0.715,0.735,0.580,0.735,0.685,-0.530,-0.155,0.035,0.625,-0.895,-0.010,1.570,-0.210,0.585,-0.165,-0.245,0.580,0.385,0.280
2020,2.918,1.784,-1.195,0.990,-0.510,-1.895,0.100,0.050,-0.175,0.110,0.160,0.235,0.485,0.420,0.815,0.635,0.490,0.295,-1.445,-1.535,1.015,-0.300,1.560,0.235,1.075,-0.025,0.300,1.195,-1.620,-1.200,-0.115,1.100
2021,-1.837,0.953,-0.755,-0.245,-0.560,-1.250,2.850,0.600,-0.870,-0.845,-0.675,-0.740,-1.000,-0.760,-1.005,-0.540,-0.990,-0.750,-0.850,-1.755,-1.045,-0.665,0.590,0.065,1.605,0.965,-0.255,1.275,0.310,-1.045,-2.410,0.215
2022,1.196,-0.149,-0.195,-0.190,0.615,-0.560,1.300,2.850,-1.345,-1.080,-1.225,-0.825,-0.915,-1.040,-0.370,-0.760,-0.950,-1.025,-2.155,-1.880,1.100,-0.070,-0.600,0.260,-0.915,0.445,0.095,0.660,-1.500,0.120,-0.990,-0.840
2023,0.463,-0.346,0.445,-0.140,-0.760,-1.270,2.300,0.350,-0.040,2.055,-0.330,0.385,-0.590,0.015,-0.605,-0.060,-0.555,0.005,-1.445,-2.760,0.775,-1.200,-0.905,0.170,2.245,0.205,0.465,0.885,0.015,-0.365,-1.000,0.100
2024,0.213,-0.072,-0.215,0.070,-0.130,-0.365,-0.750,0.150,1.205,0.020,1.685,0.665,1.665,0.950,1.400,0.955,1.630,0.925,-1.450,-1.815,0.260,-0.810,2.140,2.255,1.115,0.850,0.170,0.170,-0.880,0.065,-1.375,0.330
2025,-0.467,0.412,0.115,0.030,1.145,-0.735,0.600,1.700,0.135,0.750,-0.135,0.250,-0.585,-0.075,-0.555,-0.295,-0.485,-0.190,-1.340,-1.150,0.120,-0.020,1.675,0.625,0.670,-0.030,-0.540,0.340,0.330,-0.530,-1.340,-0.360
